Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
audioflux,0.5548,0.6191,0.5852,0.5548,0.6191,0.5852,0.5548,0.6191,0.5852,0.5548,0.6191,0.5852,0.5548,0.6191,0.5852,0.5568,0.6191,0.5863,0.5577,0.6158,0.5853,0.5617,0.6158,0.5875,0.5668,0.5836,0.5751
bgslibrary,0.4891,0.4825,0.4858,0.4891,0.4825,0.4858,0.4891,0.4825,0.4858,0.4891,0.4825,0.4858,0.4907,0.4825,0.4866,0.4979,0.4786,0.4880,0.5102,0.4670,0.4876,0.5185,0.4592,0.4870,0.5955,0.3949,0.4748
distributed_camera,0.6029,0.6495,0.6253,0.6029,0.6495,0.6253,0.6029,0.6495,0.6253,0.6029,0.6495,0.6253,0.6029,0.6495,0.6253,0.6040,0.6495,0.6259,0.6071,0.6495,0.6276,0.6133,0.6495,0.6309,0.6539,0.5914,0.6211
proxygen,0.8348,0.7990,0.8165,0.8348,0.7990,0.8165,0.8348,0.7990,0.8165,0.8348,0.7990,0.8165,0.8348,0.7990,0.8165,0.8348,0.7990,0.8165,0.8389,0.7984,0.8182,0.8419,0.7984,0.8196,0.8727,0.7805,0.8241
