file_path,Apps,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.14806367329188755,3420.2809524536133,0.02885857309613909,0.0,0.0,FreeSWITCH,3420.2809524536133
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.6609801701136998,0.21649329321725028,0.25887437547956194,0.26505295889718195,0.40338164738246374,Apps,0.6609801701136998
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.5622533525739397,0.1890209470476423,0.235162353515625,0.11495203290666853,0.1269688742501395,Apps,0.5622533525739397
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.1992239134652274,3799.611396789551,0.03998854841504778,0.011163808618273053,0.04165029185158866,FreeSWITCH,3799.611396789551
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.1257293701171875,3631.057472229004,0.02883725847516741,0.12443453924996513,0.16653619493756974,FreeSWITCH,3631.057472229004
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.446546745300293,0.1803335189819336,0.2230015618460519,0.11918901715959822,0.2092385700770787,Apps,0.446546745300293
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.5446457999093192,0.061252777917044504,0.10512978690011161,0.1387544631958008,0.3455107280186244,Apps,0.5446457999093192
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.548549325125558,0.06129775047302246,0.10534604617527553,0.1397265842982701,0.34815256936209543,Apps,0.548549325125558
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.5687893458775112,0.16285157884870258,0.23373538425990514,0.12564167295183454,0.1371601104736328,Apps,0.5687893458775112
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.8836952209472656,0.14817586626325335,0.32934447697230745,0.14959496089390345,0.2927494866507394,Apps,0.8836952209472656
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.4271460669381278,0.06124168804713658,0.16157643454415457,0.08032575334821429,0.18096523284912108,Apps,0.4271460669381278
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,0.5201700483049665,3236.675148010254,0.11621110098702567,0.19858076913016184,0.34228545597621374,FreeSWITCH,3236.675148010254
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,0.1936211041041783,3834.9988555908203,0.034053288187299455,0.0,0.0306098427091326,FreeSWITCH,3834.9988555908203
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,0.3126253128051758,3879.790267944336,0.05106630325317383,0.0,0.03054623944418771,FreeSWITCH,3879.790267944336
