file_path,backtest,contrib,data,model,rl,run,strategy,tests,utils,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.209280490875244,57.719947814941406,17.65452003479004,14.135622024536133,9.404363632202148,10.937054634094238,84.27680969238281,7.443924903869629,10.269105911254883,strategy,84.27680969238281
qlib\qlib\rl\reward.py,7.501636505126953,3.331927537918091,1.3281861543655396,0.9302036166191101,90.44818115234375,0.0,1.7544368505477905,0.0,4.374569416046143,rl,90.44818115234375
qlib\qlib\contrib\model\pytorch_lstm.py,5.9763689041137695,68.44855499267578,93.65068054199219,92.09252166748047,40.57832717895508,43.0426139831543,22.189857482910156,91.82560729980469,73.42605590820312,data,93.65068054199219
qlib\qlib\workflow\task\collect.py,7.547471523284912,11.329771041870117,15.218853950500488,13.841636657714844,9.291739463806152,22.911334991455078,14.29072093963623,10.870989799499512,17.296924591064453,run,22.911334991455078
qlib\qlib\rl\utils\log.py,3.8546106815338135,13.142729759216309,54.83986282348633,11.675311088562012,70.02484893798828,22.39508628845215,13.570147514343262,11.341714859008789,67.73275756835938,rl,70.02484893798828
qlib\qlib\backtest\report.py,63.78797912597656,19.240798950195312,109.04049682617188,24.689573287963867,23.977510452270508,36.49211883544922,25.171167373657227,51.6737060546875,28.662355422973633,data,109.04049682617188
qlib\qlib\contrib\data\__init__.py,0.0,57.72470474243164,66.71148681640625,0.0,0.0,4.169467926025391,0.0,4.169467926025391,5.788233757019043,data,66.71148681640625
qlib\qlib\rl\order_execution\simulator_simple.py,108.04438018798828,11.779300689697266,94.13700103759766,7.363094329833984,71.49897003173828,39.2017936706543,4.256580829620361,11.822301864624023,21.804140090942383,backtest,108.04438018798828
qlib\qlib\data\cache.py,15.313411712646484,24.339086532592773,127.80179595947266,44.97354507446289,87.26254272460938,76.12688446044922,26.74213981628418,33.80643844604492,40.256107330322266,data,127.80179595947266
qlib\qlib\contrib\report\data\ana.py,2.3314242362976074,56.60975646972656,76.2940444946289,7.967761993408203,5.26024866104126,36.0008544921875,9.687042236328125,11.183786392211914,12.320185661315918,data,76.2940444946289
qlib\qlib\contrib\data\processor.py,2.477681875228882,56.681610107421875,79.08021545410156,3.142029285430908,4.457415580749512,22.234302520751953,6.4318389892578125,11.911191940307617,10.783697128295898,data,79.08021545410156
qlib\qlib\rl\strategy\__init__.py,2.6049113273620605,5.010282516479492,0.0,0.0,89.49335479736328,0.0,96.38172149658203,0.0,5.010282516479492,strategy,96.38172149658203
qlib\qlib\rl\data\pickle_styled.py,103.31329345703125,12.812820434570312,108.85568237304688,7.612767219543457,71.52220153808594,29.74378776550293,4.8069353103637695,13.458649635314941,23.647329330444336,data,108.85568237304688
qlib\qlib\model\riskmodel\base.py,2.653651714324951,17.850982666015625,56.7713623046875,65.06187438964844,5.019756317138672,26.9829158782959,8.418625831604004,10.550019264221191,17.268142700195312,model,65.06187438964844
qlib\qlib\contrib\torch.py,0.0,56.81856155395508,72.42817687988281,1.3683840036392212,0.0,4.494837284088135,0.0,5.419328689575195,6.296151161193848,data,72.42817687988281
qlib\qlib\backtest\account.py,84.1953125,15.715034484863281,66.12183380126953,30.084720611572266,16.356367111206055,29.543262481689453,25.14244270324707,15.360760688781738,14.962770462036133,backtest,84.1953125
qlib\qlib\rl\order_execution\interpreter.py,3.230112314224243,9.844593048095703,93.33065032958984,7.000685214996338,75.09989929199219,47.29120635986328,4.604515075683594,9.245158195495605,19.261199951171875,data,93.33065032958984
qlib\qlib\contrib\model\pytorch_gats.py,5.955926418304443,67.99507904052734,121.85000610351562,103.14617919921875,40.00587463378906,52.816368103027344,24.674375534057617,90.30403137207031,73.3857650756836,data,121.85000610351562
qlib\qlib\backtest\utils.py,77.15509796142578,13.677908897399902,82.05866241455078,3.535085916519165,5.572929382324219,55.89794921875,7.669295310974121,13.89861011505127,76.89934539794922,data,82.05866241455078
qlib\qlib\contrib\model\pytorch_adarnn.py,9.748086929321289,67.71340942382812,125.07658386230469,97.1120376586914,51.95807647705078,66.01838684082031,23.398988723754883,81.38604736328125,77.94029235839844,data,125.07658386230469
qlib\qlib\rl\simulator.py,4.602781295776367,3.796318769454956,0.4297906458377838,0.0,87.69795227050781,0.0,0.2035588026046753,0.0,4.059909343719482,rl,87.69795227050781
qlib\qlib\contrib\tuner\pipeline.py,109.451904296875,64.90059661865234,86.78076171875,22.654279708862305,6.142455577850342,63.64442443847656,10.644757270812988,41.430850982666016,23.888961791992188,backtest,109.451904296875
qlib\qlib\contrib\model\catboost_model.py,3.115591287612915,64.48529815673828,82.9462890625,78.09663391113281,9.467947006225586,13.673537254333496,11.478439331054688,86.3796615600586,14.0612211227417,tests,86.3796615600586
