file_path,Apps,BBB web,FSESL,FreeSWITCH,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.14806367329188755,1.2832554408482142,3562.434539794922,3420.2809524536133,0.0,0.0,FSESL,3562.434539794922
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.6609801701136998,2.5846625191824777,0.284075437273298,0.21649329321725028,0.26505295889718195,0.40338164738246374,BBB web,2.5846625191824777
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.5622533525739397,2.5503991263253347,0.15173044204711914,0.1890209470476423,0.11495203290666853,0.1269688742501395,BBB web,2.5503991263253347
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.1992239134652274,1.29481691632952,2772.4212646484375,3799.611396789551,0.011163808618273053,0.04165029185158866,FreeSWITCH,3799.611396789551
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.446546745300293,2.491280909946987,0.17560641424996512,0.1803335189819336,0.11918901715959822,0.2092385700770787,BBB web,2.491280909946987
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.1257293701171875,1.3117517743791853,2833.626136779785,3631.057472229004,0.12443453924996513,0.16653619493756974,FreeSWITCH,3631.057472229004
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.5446457999093192,2.3207715715680806,0.08091085297720772,0.061252777917044504,0.1387544631958008,0.3455107280186244,BBB web,2.3207715715680806
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.548549325125558,2.3214898245675224,0.08151465143476214,0.06129775047302246,0.1397265842982701,0.34815256936209543,BBB web,2.3214898245675224
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.5687893458775112,2.51171395438058,0.10860015324183873,0.16285157884870258,0.12564167295183454,0.1371601104736328,BBB web,2.51171395438058
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.8836952209472656,2.6263992309570314,0.1923389026096889,0.14817586626325335,0.14959496089390345,0.2927494866507394,BBB web,2.6263992309570314
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.4271460669381278,2.5659925188337054,0.004117764745439802,0.06124168804713658,0.08032575334821429,0.18096523284912108,BBB web,2.5659925188337054
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,0.5201700483049665,1.3669942583356585,2426.638984680176,3236.675148010254,0.19858076913016184,0.34228545597621374,FreeSWITCH,3236.675148010254
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,0.3126253128051758,1.3158952985491073,2771.378517150879,3879.790267944336,0.0,0.03054623944418771,FreeSWITCH,3879.790267944336
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,0.1936211041041783,1.325059836251395,2850.4868698120117,3834.9988555908203,0.0,0.0306098427091326,FreeSWITCH,3834.9988555908203
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,0.2631887708391462,1.3677430289132255,3139.0331268310547,3567.295265197754,0.22701740264892578,0.12183211190359933,FreeSWITCH,3567.295265197754
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,0.5428782326834543,2.4981454031808035,0.1045325687953404,0.15919239861624582,0.12199126652308873,0.13477706909179688,BBB web,2.4981454031808035
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,0.26482295989990234,1.3698698861258372,3166.595039367676,3588.6511611938477,0.17111140659877233,0.12254184995378767,FreeSWITCH,3588.6511611938477
