file_path,Apps,BBB web,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.14806367329188755,1.2832554408482142,3420.2809524536133,0.02885857309613909,0.0,0.0,FreeSWITCH,3420.2809524536133
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.6609801701136998,2.5846625191824777,0.21649329321725028,0.25887437547956194,0.26505295889718195,0.40338164738246374,BBB web,2.5846625191824777
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.5874813079833985,2.5503991263253347,0.1890209470476423,0.25198099953787667,0.11495203290666853,0.1269688742501395,BBB web,2.5503991263253347
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.1992239134652274,1.29481691632952,3799.611396789551,0.03998854841504778,0.011163808618273053,0.04165029185158866,FreeSWITCH,3799.611396789551
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.1257293701171875,1.3117517743791853,3631.057472229004,0.02883725847516741,0.12443453924996513,0.16653619493756974,FreeSWITCH,3631.057472229004
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.446546745300293,2.491280909946987,0.1803335189819336,0.2230015618460519,0.11918901715959822,0.2092385700770787,BBB web,2.491280909946987
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.5446457999093192,2.3207715715680806,0.061252777917044504,0.10512978690011161,0.1387544631958008,0.3455107280186244,BBB web,2.3207715715680806
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.548549325125558,2.3214898245675224,0.06129775047302246,0.10534604617527553,0.1397265842982701,0.34815256936209543,BBB web,2.3214898245675224
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.5952300480433873,2.51171395438058,0.16285157884870258,0.2513625281197684,0.12564167295183454,0.1371601104736328,BBB web,2.51171395438058
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.8836952209472656,2.6263992309570314,0.14817586626325335,0.32934447697230745,0.14959496089390345,0.2927494866507394,BBB web,2.6263992309570314
