file_path,app,backends,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\t\integration\worker_config.py,8.787238121032715,4.05128288269043,3.511812210083008,9.279802322387695,4.228070259094238,4.986095905303955,6.056807041168213,1.0008935928344727,4.6839599609375,97.15774536132812,worker,97.15774536132812
celery\t\unit\backends\test_base.py,114.62489318847656,174.15670776367188,28.872026443481445,24.390457153320312,26.944393157958984,18.24055290222168,23.71450424194336,66.99366760253906,40.3400764465332,44.35137176513672,backends,174.15670776367188
celery\t\integration\test_connection_recovery.py,57.86953353881836,2.7473559379577637,3.781522274017334,11.040255546569824,1.0010650157928467,2.8964717388153076,2.0459272861480713,1.349352478981018,4.7975592613220215,2.9272940158843994,app,57.86953353881836
celery\t\integration\test_tasks.py,94.46200561523438,88.73877716064453,34.93825149536133,35.657222747802734,36.597652435302734,8.411382675170898,71.2525863647461,13.631872177124023,42.77077102661133,124.67703247070312,worker,124.67703247070312
celery\t\unit\tasks\test_states.py,7.471182346343994,5.70120906829834,4.172069549560547,8.918853759765625,12.75674819946289,1.808488368988037,10.032511711120605,3.0868539810180664,3.5689101219177246,10.793680191040039,events,12.75674819946289
celery\t\unit\utils\test_collections.py,52.37735366821289,5.667052745819092,8.753890991210938,13.996076583862305,4.8388824462890625,7.326236248016357,22.797807693481445,8.481264114379883,70.14872741699219,18.928817749023438,utils,70.14872741699219
celery\t\unit\bin\proj\app2.py,47.961669921875,0.0,0.6683458685874939,1.0009167194366455,1.0009167194366455,1.0009167194366455,1.358290672302246,1.0009167194366455,2.671428918838501,1.0009167194366455,app,47.961669921875
celery\t\unit\security\__init__.py,4.309186935424805,1.2389847040176392,1.0683931112289429,3.883226156234741,2.0692975521087646,2.0692975521087646,2.0692975521087646,129.9753875732422,3.668178081512451,3.3082823753356934,security,129.9753875732422
celery\t\smoke\tests\quorum_queues\test_default_queue_type.py,78.14582824707031,13.25494384765625,5.101011276245117,12.930373191833496,6.550294876098633,1.6204452514648438,12.149544715881348,6.789853572845459,8.338912010192871,109.16364288330078,worker,109.16364288330078
celery\t\unit\utils\test_nodenames.py,2.8597073554992676,5.430928707122803,1.5657901763916016,5.55656099319458,2.8707659244537354,1.0009034872055054,3.902012825012207,4.501575469970703,88.7088394165039,72.91358184814453,utils,88.7088394165039
celery\celery\apps\multi.py,74.25701141357422,36.16460418701172,5.900213718414307,9.668867111206055,12.981971740722656,4.500514030456543,31.579133987426758,3.5362770557403564,46.85107421875,84.83330535888672,worker,84.83330535888672
celery\t\unit\fixups\__init__.py,2.1749229431152344,0.1730874627828598,0.0,1.174005150794983,1.000917673110962,141.13821411132812,1.000917673110962,1.000917673110962,1.174005150794983,1.174005150794983,fixups,141.13821411132812
celery\t\unit\backends\test_s3.py,75.58981323242188,146.07997131347656,4.432989597320557,9.194750785827637,13.060787200927734,8.043549537658691,6.4063239097595215,11.655488014221191,16.30734634399414,8.76810073852539,backends,146.07997131347656
celery\examples\celery_http_gateway\settings.py,76.4653091430664,140.13087463378906,4.791625022888184,123.24369812011719,6.9214324951171875,9.341386795043945,108.3661117553711,10.807062149047852,41.40725326538086,23.92949867248535,backends,140.13087463378906
celery\t\unit\tasks\unit_tasks.py,6.144681453704834,4.142862319946289,4.142862319946289,3.6703805923461914,1.0009095668792725,1.0009095668792725,7.215203285217285,3.072340726852417,3.787534236907959,7.235092639923096,worker,7.235092639923096
celery\celery\bin\base.py,77.9363021850586,19.820592880249023,10.035213470458984,15.173799514770508,13.485681533813477,9.718705177307129,41.5107421875,15.833377838134766,24.37940788269043,46.35104751586914,app,77.9363021850586
celery\t\unit\tasks\test_stamping.py,81.62503051757812,29.627750396728516,9.697325706481934,25.423826217651367,8.112404823303223,5.603923320770264,70.42571258544922,8.260252952575684,13.359941482543945,21.27385139465332,app,81.62503051757812
celery\t\unit\events\test_cursesmon.py,66.09716796875,6.224287986755371,6.341158866882324,8.9385986328125,93.14934539794922,2.5738699436187744,11.89041519165039,3.5584940910339355,11.089713096618652,77.91633605957031,events,93.14934539794922
celery\celery\bin\celery.py,97.78800201416016,69.2871322631836,18.489330291748047,49.797672271728516,112.68572998046875,19.75626564025879,76.82344055175781,12.648721694946289,39.140811920166016,129.5741729736328,worker,129.5741729736328
