file_path,CameraDataPostProcess,CameraDataProcessCommon,CameraServiceCommon,ChannelCommon,ChannelSink,ChannelSource,DistributedCameraSinkMgr,DistributedCameraSourceMgr,VirtualCameraHdf,utils,best_module,best_likelihood
distributed_camera\services\cameraservice\sourceservice\src\distributedcameramgr\dcameradata\dcamera_stream_data_process_pipeline_listener.cpp,13.615363121032715,8.266094207763672,6.495124340057373,4.745594501495361,1.7458206415176392,1.0490244626998901,6.55778169631958,10.549213409423828,6.6765241622924805,9.533563613891602,CameraDataPostProcess,13.615363121032715
distributed_camera\services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_init_state.h,5.2355055809021,2.485383987426758,8.435202598571777,1.9317349195480347,1.018646001815796,1.0513089895248413,4.640524864196777,8.770309448242188,4.230279445648193,3.005779981613159,DistributedCameraSourceMgr,8.770309448242188
distributed_camera\camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.h,3.0395469665527344,3.9314470291137695,11.133230209350586,5.755126953125,1.0189704895019531,1.0519566535949707,7.835652828216553,8.838165283203125,12.807787895202637,9.703633308410645,VirtualCameraHdf,12.807787895202637
distributed_camera\camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,3.0290656089782715,0.0,3.0041937828063965,0.024872008711099625,1.0139057636260986,1.0387777090072632,1.5296212434768677,9.0315523147583,10.83399486541748,9.18826675415039,VirtualCameraHdf,10.83399486541748
distributed_camera\services\cameraservice\sinkservice\test\unittest\common\distributedcameramgr\dcamera_sink_data_process_test.cpp,16.61744499206543,14.23412799835205,11.854911804199219,10.961129188537598,6.051677227020264,3.945794105529785,9.016164779663086,8.720953941345215,8.276037216186523,8.09368896484375,CameraDataPostProcess,16.61744499206543
distributed_camera\camera_hdf\interfaces\hdi_ipc\server\provider\dcamera_provider_stub.cpp,10.888398170471191,11.417645454406738,10.682015419006348,7.888189792633057,1.831579566001892,2.605576515197754,12.63184642791748,11.243607521057129,11.645060539245605,14.89748764038086,utils,14.89748764038086
distributed_camera\interfaces\inner_kits\native_cpp\camera_source\include\distributed_camera_source_proxy.h,5.123311519622803,3.9685916900634766,8.90263843536377,5.884946823120117,1.0181701183319092,1.0515145063400269,3.290621757507324,7.257500648498535,5.4445905685424805,4.643196105957031,CameraServiceCommon,8.90263843536377
distributed_camera\services\data_process\include\pipeline\dcamera_pipeline_sink.h,17.575498580932617,12.360310554504395,9.581628799438477,7.236975193023682,1.0576350688934326,1.168992042541504,8.388938903808594,10.582956314086914,4.214508056640625,6.543156147003174,CameraDataPostProcess,17.575498580932617
distributed_camera\camera_hdf\interfaces\hdi_ipc\server\device\dcamera_device_stub.cpp,10.987493515014648,9.024956703186035,10.551290512084961,5.938560485839844,1.351912498474121,2.149106025695801,8.329232215881348,11.479142189025879,12.474613189697266,14.351866722106934,utils,14.351866722106934
distributed_camera\camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,5.862146377563477,1.5684739351272583,4.254321098327637,1.0335416793823242,2.5916788578033447,2.051682710647583,2.872506618499756,7.1591057777404785,8.690143585205078,7.296103477478027,VirtualCameraHdf,8.690143585205078
distributed_camera\camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.cpp,3.036302089691162,1.8969738483428955,6.113560676574707,3.826284170150757,1.0175710916519165,1.0499073266983032,2.7308690547943115,11.545316696166992,11.529797554016113,7.6080002784729,DistributedCameraSourceMgr,11.545316696166992
distributed_camera\camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,3.029006242752075,0.0,3.0041873455047607,0.024818964302539825,1.0138773918151855,1.0386962890625,1.2835946083068848,8.610097885131836,10.580516815185547,6.362799167633057,VirtualCameraHdf,10.580516815185547
distributed_camera\services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_access_control.h,3.6531975269317627,6.181805610656738,7.201749324798584,7.109189033508301,1.0367846488952637,4.357465744018555,9.896053314208984,4.562131404876709,5.247636795043945,3.0058281421661377,DistributedCameraSinkMgr,9.896053314208984
distributed_camera\services\data_process\src\pipeline\dcamera_pipeline_sink.cpp,23.621604919433594,25.464170455932617,11.99262523651123,9.647567749023438,3.8345248699188232,1.855280876159668,14.990972518920898,19.061046600341797,6.788869857788086,14.739909172058105,CameraDataProcessCommon,25.464170455932617
distributed_camera\services\cameraservice\sinkservice\src\distributedcameramgr\callback\dcamera_sink_output_result_callback.cpp,10.498651504516602,5.01145076751709,7.512056827545166,3.078470468521118,1.763709306716919,1.102690577507019,10.517723083496094,7.555454730987549,4.4653000831604,7.654061794281006,DistributedCameraSinkMgr,10.517723083496094
distributed_camera\interfaces\inner_kits\native_cpp\camera_source\include\idistributed_camera_source.h,5.246840953826904,4.837871074676514,9.751909255981445,7.500951290130615,1.018161416053772,1.0513916015625,2.996504783630371,7.483584880828857,8.507952690124512,4.629824161529541,CameraServiceCommon,9.751909255981445
distributed_camera\services\channel\include\dcamera_softbus_adapter.h,12.386008262634277,9.98733901977539,13.93639087677002,19.90817642211914,8.738282203674316,8.371511459350586,9.51284408569336,10.042989730834961,6.4109272956848145,9.470884323120117,ChannelCommon,19.90817642211914
